Customer ID,network_age,Customer tenure in month,spend_mo12,Total SMS Spend,Total Data Spend,Total Data Consumption,Total Unique Calls,Total Onnet spend ,Total Offnet spend,complaint_calls,Network type subscription in Month 1,Network type subscription in Month 2,Most Loved Competitor network in in Month 1,Most Loved Competitor network in in Month 2,Churn Status
ADF0039,123.0,4.1,76.714,0.0,1.25,1.4951,14.0,564.0,6408.0,2.0,2G,2G,Uxaa,Mango,0.0
ADF0041,1316.0,43.87,98.8904,4.14,1.25,1.0244,27.0,1626.0,4373.0,1.0,2G,2G,Uxaa,Mango,0.0
ADF0051,2385.0,79.5,372.63,3.51,1.25,6.0898,119.0,10411.0,22039.0,1.0,2G,2G,Weematel,Mango,0.0
ADF0059,1614.0,53.8,530.2,6.85,1.25,3.3447,69.0,6822.0,6274.0,1.0,2G,2G,0,Mango,0.0
ADF0060,2175.0,72.5,554.13,6.99,153.75,673204.0342,33.0,3387.0,7241.0,1.0,2G,3G,Weematel,Mango,0.0
ADF0066,158.0,5.27,792.1144,28.63,108.75,107713.582,101.0,7296.0,16636.0,1.0,2G,2G,Uxaa,Mango,0.0
ADF0068,110.0,3.67,1090.5,1.75,0.0,14.9102,303.0,22176.0,71699.0,2.0,2G,2G,Zintel,Mango,0.0
ADF0072,558.0,18.6,29.5464,7.17,0.0,19.1533,4.0,12.0,444.0,1.0,2G,2G,Uxaa,Mango,1.0
ADF0079,115.0,3.83,62.252,6.76,11.25,201352.709,13.0,0.0,3563.0,1.0,2G,3G,Mango,Mango,1.0
ADF0085,1868.0,62.27,120.1204,23.49,31.25,440.1846,23.0,0.0,4254.0,1.0,2G,2G,Mango,Mango,1.0
ADF0091,1196.0,39.87,155.0008,24.26,2.5,254941.6182,13.0,0.0,3810.0,1.0,2G,2G,Weematel,Mango,1.0
ADF0092,174.0,5.8,156.772,31.94,6.25,201527.4873,23.0,144.0,1487.0,1.0,2G,2G,Mango,Mango,1.0
ADF0094,122.0,4.07,161.1,0.0,0.0,32.459,152.0,1176.0,13119.0,6.0,2G,2G,Weematel,Mango,1.0
ADF0095,441.0,14.7,169.5648,45.6,3.75,6635.3525,26.0,48.0,5457.0,1.0,2G,2G,Mango,Mango,1.0
ADF0105,2132.0,71.07,647.2068,14.81,0.0,6050.709,200.0,6276.0,22607.0,1.0,2G,2G,Weematel,Mango,1.0
ADF0108,180.0,6.0,687.11,136.56,22.5,17036.7813,143.0,1956.0,11768.0,1.0,2G,2G,Mango,Mango,1.0
ADF0116,114.0,3.8,822.258,6.24,106.25,3071059.907,52.0,228.0,24088.0,2.0,2G,2G,ToCall,Mango,1.0
ADF0122,3496.0,116.53,1160.93,121.27,7.5,71.9365,200.0,17408.0,68500.0,2.0,2G,2G,ToCall,Mango,1.0
ADF0123,422.0,14.07,1170.17,27.4,7.5,106.0205,293.0,4434.0,91967.0,1.0,2G,2G,Uxaa,Mango,1.0
ADF0131,1914.0,63.8,1592.72,23.26,2.5,11.6113,375.0,25523.0,99000.0,1.0,2G,2G,ToCall,Mango,1.0
ADF0132,1822.0,60.73,1621.36,100.98,12.5,198.5088,339.0,12645.0,109895.0,1.0,2G,2G,Mango,Mango,1.0
ADF0257,120.0,4.0,61.29,3.5,0.0,0.2998,23.0,1116.0,4041.0,1.0,2G,2G,ToCall,PQza,0.0
ADF0259,2372.0,79.07,96.13,15.45,16.25,29.459,15.0,502.0,3191.0,2.0,2G,2G,Mango,PQza,0.0
ADF0261,3500.0,116.67,100.71,1.76,0.0,526910.4775,2.0,0.0,185.0,3.0,2G,2G,PQza,PQza,0.0
ADF0263,121.0,4.03,125.122,0.5,78.75,1674288.928,9.0,729.0,1908.0,1.0,2G,3G,Uxaa,PQza,0.0
ADF0266,2417.0,80.57,142.03,7.05,1.25,36694.3652,13.0,2421.0,967.0,1.0,2G,2G,PQza,PQza,0.0
ADF0269,204.0,6.8,162.9344,9.66,58.75,581798.6514,9.0,120.0,2000.0,1.0,2G,3G,PQza,PQza,0.0
ADF0274,3291.0,109.7,199.188,0.01,92.5,87203.6817,4.0,0.0,549.0,5.0,2G,2G,PQza,PQza,0.0
ADF0276,847.0,28.23,222.7304,0.0,55.0,755157.4844,12.0,2409.0,1037.0,1.0,2G,2G,PQza,PQza,0.0
ADF0283,1038.0,34.6,261.8384,23.65,10.0,7982150.938,29.0,2940.0,6631.0,4.0,2G,3G,Mango,PQza,0.0
ADF0289,1758.0,58.6,311.0628,0.0,55.0,179282.8418,11.0,1092.0,904.0,1.0,2G,2G,Uxaa,PQza,0.0
ADF0290,1262.0,42.07,311.65,17.5,3.75,95451.3741,5.0,275.0,358.0,1.0,2G,2G,PQza,PQza,0.0
ADF0296,2132.0,71.07,332.8,5.25,21.25,7639898.588,30.0,1937.0,3547.0,3.0,2G,3G,Uxaa,PQza,0.0
ADF0303,3352.0,111.73,397.296,107.1,30.0,40258.2734,16.0,801.0,2043.0,2.0,2G,2G,PQza,PQza,0.0
ADF0308,2067.0,68.9,423.61,135.66,21.25,3854.166,15.0,2571.0,1207.0,1.0,2G,2G,PQza,PQza,0.0
ADF0309,1070.0,35.67,427.3776,1.75,26.25,16845.0557,176.0,5263.0,7771.0,2.0,2G,3G,PQza,PQza,0.0
ADF0322,567.0,18.9,534.5204,20.05,0.0,87299.6885,30.0,945.0,1923.0,1.0,2G,2G,PQza,PQza,0.0
ADF0330,3713.0,123.77,726.14,2.42,92.5,13224193.42,38.0,1320.0,6685.0,1.0,2G,3G,PQza,PQza,0.0
ADF0332,185.0,6.17,746.098,105.94,2.5,7210.998,33.0,1296.0,4609.0,2.0,2G,2G,PQza,PQza,0.0
ADF0341,1426.0,47.53,1158.8744,12.89,2.5,12780320.19,671.0,5634.0,7794.0,1.0,2G,2G,PQza,PQza,0.0
ADF0344,368.0,12.27,1224.0612,0.0,52.5,1758480.214,16.0,502.0,3681.0,1.0,2G,2G,ToCall,PQza,0.0
ADF0347,371.0,12.37,13.402,0.0,1.25,29283.8877,22.0,132.0,0.0,1.0,2G,2G,PQza,PQza,1.0
ADF0350,1586.0,52.87,15.682,0.0,11.25,1031.042,3.0,0.0,192.0,1.0,2G,2G,PQza,PQza,1.0
ADF0352,2172.0,72.4,16.642,0.0,8.75,131274.5869,5.0,0.0,203.0,2.0,2G,2G,PQza,PQza,1.0
ADF0353,204.0,6.8,18.522,9.79,0.0,19.0918,2.0,0.0,395.0,1.0,2G,2G,ToCall,PQza,1.0
ADF0362,117.0,3.9,24.97,0.0,1.25,2305.0537,15.0,1224.0,358.0,1.0,2G,2G,Uxaa,PQza,1.0
ADF0366,210.0,7.0,30.7884,7.17,0.0,702.4287,9.0,348.0,1547.0,1.0,2G,2G,PQza,PQza,1.0
ADF0372,1433.0,47.77,37.0024,14.82,13.75,2441.9629,2.0,114.0,179.0,1.0,2G,3G,PQza,PQza,1.0
ADF0376,124.0,4.13,40.81,0.0,15.0,9123.917,15.0,348.0,1635.0,1.0,2G,3G,PQza,PQza,1.0
ADF0378,1263.0,42.1,41.42,25.01,0.0,1134.0234,1.0,0.0,179.0,1.0,2G,3G,PQza,PQza,1.0
ADF0379,635.0,21.17,41.48,16.09,2.5,9.8418,3.0,114.0,358.0,1.0,2G,2G,PQza,PQza,1.0
ADF0383,2793.0,93.1,42.48,11.95,1.25,332.3574,7.0,0.0,2330.0,1.0,2G,3G,PQza,PQza,1.0
ADF0385,929.0,30.97,42.89,23.9,0.0,21.0293,8.0,24.0,1157.0,1.0,2G,3G,ToCall,PQza,1.0
ADF0388,213.0,7.1,43.34,0.0,31.25,5844.3848,1.0,0.0,179.0,2.0,2G,2G,PQza,PQza,1.0
ADF0396,911.0,30.37,48.364,30.73,1.25,20.9238,1.0,0.0,179.0,1.0,2G,2G,PQza,PQza,1.0
ADF0400,1387.0,46.23,53.356,7.17,17.5,823.9795,4.0,0.0,1171.0,1.0,2G,2G,Mango,PQza,1.0
ADF0407,460.0,15.33,56.06,33.46,0.0,337.5703,4.0,0.0,586.0,1.0,2G,2G,Mango,PQza,1.0
ADF0408,1028.0,34.27,56.122,7.17,42.5,3944.5361,2.0,0.0,358.0,1.0,2G,2G,PQza,PQza,1.0
ADF0414,906.0,30.2,57.9,7.17,21.25,69978.7031,2.0,0.0,905.0,1.0,2G,2G,Mango,PQza,1.0
ADF0416,1597.0,53.23,59.65,0.04,0.0,203.6465,79.0,1932.0,1254.0,1.0,2G,2G,PQza,PQza,1.0
ADF0418,1399.0,46.63,60.292,25.65,3.75,56.3018,7.0,558.0,713.0,1.0,2G,2G,Uxaa,PQza,1.0
ADF0422,2490.0,83.0,60.69,18.95,25.0,1049.9375,1.0,0.0,179.0,2.0,2G,3G,PQza,PQza,1.0
ADF0425,485.0,16.17,61.606,23.9,1.25,17.4717,5.0,12.0,1816.0,1.0,2G,2G,PQza,PQza,1.0
ADF0426,1258.0,41.93,62.658,20.88,1.25,35.6611,7.0,12.0,1601.0,2.0,2G,2G,Uxaa,PQza,1.0
ADF0429,787.0,26.23,65.4384,16.73,3.75,75.5009,12.0,874.0,2151.0,1.0,2G,2G,PQza,PQza,1.0
ADF0430,2856.0,95.2,66.232,14.57,11.25,502.3643,24.0,168.0,2234.0,1.0,2G,2G,Uxaa,PQza,1.0
ADF0434,121.0,4.03,69.208,11.95,0.0,939.7178,18.0,0.0,3560.0,1.0,2G,2G,PQza,PQza,1.0
